Time,Doing
0.00108,Философ 3 думает
2.0027,Философ 3 берет левую вилку
2.00273,Философ 3 берет правую вилку
2.00274,Философ 3 ест
4.00482,Философ 3 кладет правую вилку
4.00489,Философ 3 кладет левую вилку
4.0049,Философ 3 думает
6.00663,Философ 3 берет левую вилку
6.00716,Философ 3 берет правую вилку
8.00683,Философ 3 ест
10.00918,Философ 3 кладет правую вилку
10.00921,Философ 3 кладет левую вилку
10.00923,Философ 3 думает
12.01065,Философ 3 берет левую вилку
12.01071,Философ 3 берет правую вилку
12.01307,Философ 3 ест
14.01454,Философ 3 кладет правую вилку
14.01456,Философ 3 кладет левую вилку
14.01457,Философ 3 думает
16.01591,Философ 3 берет левую вилку
16.01686,Философ 3 берет правую вилку
18.01692,Философ 3 ест
20.01851,Философ 3 кладет правую вилку
20.01854,Философ 3 кладет левую вилку
20.01855,Философ 3 думает
22.02083,Философ 3 берет левую вилку
22.02089,Философ 3 берет правую вилку
22.02262,Философ 3 ест
24.02496,Философ 3 кладет правую вилку
24.02499,Философ 3 кладет левую вилку
