Time,Doing
0.00139,Философ 5 думает
2.00277,Философ 5 берет левую вилку
2.00279,Философ 5 берет правую вилку
4.00334,Философ 5 ест
6.00511,Философ 5 кладет правую вилку
6.00517,Философ 5 кладет левую вилку
6.00518,Философ 5 думает
8.00655,Философ 5 берет левую вилку
8.00678,Философ 5 берет правую вилку
8.00803,Философ 5 ест
10.01048,Философ 5 кладет правую вилку
10.01054,Философ 5 кладет левую вилку
10.01055,Философ 5 думает
12.01084,Философ 5 берет левую вилку
12.01312,Философ 5 берет правую вилку
14.01303,Философ 5 ест
16.01442,Философ 5 кладет правую вилку
16.01447,Философ 5 кладет левую вилку
16.01448,Философ 5 думает
18.01654,Философ 5 берет левую вилку
18.01682,Философ 5 берет правую вилку
18.01908,Философ 5 ест
20.02123,Философ 5 кладет правую вилку
20.0213,Философ 5 кладет левую вилку
20.02131,Философ 5 думает
22.0227,Философ 5 берет левую вилку
22.02277,Философ 5 берет правую вилку
24.02225,Философ 5 ест
26.02268,Философ 5 кладет правую вилку
26.02273,Философ 5 кладет левую вилку
