Time,Doing
0.00087,Философ 2 думает
2.00262,Философ 2 берет левую вилку
4.00326,Философ 2 берет правую вилку
4.00492,Философ 2 ест
6.00706,Философ 2 кладет правую вилку
6.00712,Философ 2 кладет левую вилку
6.00713,Философ 2 думает
8.00921,Философ 2 берет левую вилку
8.00923,Философ 2 берет правую вилку
10.00935,Философ 2 ест
12.01041,Философ 2 кладет правую вилку
12.01047,Философ 2 кладет левую вилку
12.01048,Философ 2 думает
14.01282,Философ 2 берет левую вилку
14.01308,Философ 2 берет правую вилку
14.01465,Философ 2 ест
16.01676,Философ 2 кладет правую вилку
16.01681,Философ 2 кладет левую вилку
16.01682,Философ 2 думает
18.0186,Философ 2 берет левую вилку
18.01906,Философ 2 берет правую вилку
20.01862,Философ 2 ест
22.0191,Философ 2 кладет правую вилку
22.01916,Философ 2 кладет левую вилку
